Shape,A,d,b,t,k(des),k(det),wt./ft.,Ix,Sx,rx,y(bar),Zx,yp,Iy,Sy,ry,x(bar),Zy,xp,Iz,Sz,rz,TAN a,Qs,J,Cw,ro(bar),H
L5X3-1/2X5/8,4.93,3.5,5,0.625,1.06,1.0625,16.8,12,3.63,1.56,1.69,6.5,1.06,4.8,1.88,0.987,0.947,3.43,0.493,2.74,1.6,0.746,0.472,1,0.651,0.918,2.39,–
L5X3-1/2X1/2,4,3.5,5,0.5,0.938,0.9375,13.6,10,2.97,1.58,1.65,5.33,1,4.02,1.55,1,0.901,2.79,0.4,2.26,1.29,0.75,0.479,1,0.343,0.491,2.42,–
L5X3-1/2X3/8,3.05,3.5,5,0.375,0.813,0.8125,10.4,7.75,2.28,1.59,1.6,4.09,0.933,3.15,1.19,1.02,0.854,2.12,0.305,1.73,0.985,0.755,0.485,0.983,0.15,0.217,2.45,–
L5X3-1/2X5/16,2.56,3.5,5,0.3125,0.75,0.75,8.7,6.58,1.92,1.6,1.57,3.45,0.904,2.69,1.01,1.02,0.829,1.77,0.256,1.47,0.827,0.758,0.489,0.912,0.0883,0.128,2.47,–
L5X3-1/2X1/4,2.07,3.5,5,0.25,0.688,0.6875,7,5.36,1.55,1.61,1.55,2.78,0.86,2.2,0.816,1.03,0.804,1.42,0.207,1.19,0.667,0.761,0.491,0.804,0.0464,0.067,2.48,–
L5X3X1/2,3.75,3,5,0.5,0.938,0.9375,12.8,9.43,2.89,1.58,1.74,5.12,1.25,2.55,1.13,0.824,0.746,2.08,0.375,1.55,0.953,0.642,0.357,1,0.322,0.444,2.38,–
L5X3X7/16,3.31,3,5,0.4375,0.875,0.875,11.3,8.41,2.56,1.59,1.72,4.53,1.22,2.29,1,0.831,0.722,1.82,0.331,1.37,0.84,0.644,0.361,1,0.22,0.304,2.39,–
L5X3X3/8,2.86,3,5,0.375,0.813,0.8125,9.8,7.35,2.22,1.6,1.69,3.93,1.19,2.01,0.874,0.838,0.698,1.57,0.286,1.2,0.726,0.646,0.364,0.983,0.141,0.196,2.41,–
L5X3X5/16,2.41,3,5,0.3125,0.75,0.75,8.2,6.24,1.87,1.61,1.67,3.32,1.14,1.72,0.739,0.846,0.673,1.31,0.241,1.01,0.61,0.649,0.368,0.912,0.0832,0.116,2.42,–
L5X3X1/4,1.94,3,5,0.25,0.688,0.6875,6.6,5.09,1.51,1.62,1.64,2.68,1.12,1.41,0.6,0.853,0.648,1.05,0.194,0.825,0.491,0.652,0.371,0.804,0.0438,0.0606,2.43,–
L4X4X3/4,5.44,4,4,0.75,1.13,1.125,18.5,7.62,2.79,1.18,1.27,5.02,0.68,7.62,2.79,1.18,1.27,5.02,0.68,3.25,1.81,0.774,1,1,1.02,1.12,2.1,0.64
L4X4X5/8,4.61,4,4,0.625,1,1,15.7,6.62,2.38,1.2,1.22,4.28,0.576,6.62,2.38,1.2,1.22,4.28,0.576,2.76,1.59,0.774,1,1,0.61,0.68,2.13,0.63
L4X4X1/2,3.75,4,4,0.5,0.875,0.875,12.8,5.52,1.96,1.21,1.18,3.5,0.469,5.52,1.96,1.21,1.18,3.5,0.469,2.25,1.35,0.776,1,1,0.322,0.366,2.16,0.63
