Shape,A,d,tw,bf,tf,k(des),k(det),k1,T,gage,wt./ft.,bf/(2*tf),h/tw,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,rts,ho,J,Cw,Wno,Sw1,Qf,Qw
W40X327,95.9,40.8,1.18,12.1,2.13,3.31,3.375,1.8125,34,7.5,327,2.85,29,24500,1200,16,1410,640,105,2.58,170,3.21,38.7,103,239000,117,754,225,695
W40X294,86.2,40.4,1.06,12,1.93,3.11,3.1875,1.75,34,7.5,294,3.11,32.2,21900,1080,15.9,1270,562,93.5,2.55,150,3.16,38.5,76.6,208000,115,668,203,622
W40X278,82.3,40.2,1.03,12,1.81,2.99,3.0625,1.75,34,7.5,278,3.31,33.3,20500,1020,15.8,1190,521,87.1,2.52,140,3.13,38.4,65,192000,115,622,190,587
W40X264,77.4,40,0.96,11.9,1.73,2.91,3,1.6875,34,7.5,264,3.45,35.6,19400,971,15.8,1130,493,82.6,2.52,132,3.12,38.3,56.1,181000,114,589,182,555
W40X235,69.1,39.7,0.83,11.9,1.58,2.76,2.875,1.625,34,7.5,235,3.77,41.2,17400,875,15.9,1010,444,74.6,2.54,118,3.11,38.1,41.3,161000,113,530,166,495
W40X211,62.1,39.4,0.75,11.8,1.42,2.6,2.6875,1.5625,34,7.5,211,4.17,45.6,15500,786,15.8,906,390,66.1,2.51,105,3.07,38,30.4,141000,112,468,148,442
W40X183,53.3,39,0.65,11.8,1.2,2.38,2.5,1.5625,34,7.5,183,4.92,52.6,13200,675,15.7,774,331,56,2.49,88.3,3.04,37.8,19.3,118000,112,395,126,376
W40X167,49.3,38.6,0.65,11.8,1.03,2.21,2.3125,1.5625,34,7.5,167,5.76,52.6,11600,600,15.3,693,283,47.9,2.4,76,2.98,37.6,14,99700,111,336,107,336
W40X149,43.8,38.2,0.63,11.8,0.83,2.01,2.125,1.5,34,7.5,149,7.11,54.3,9800,513,15,598,229,38.8,2.29,62.2,2.89,37.4,9.36,80000,110,270,86.7,288
W36X652,192,41.1,1.97,17.6,3.54,4.49,4.8125,2.1875,31.375,7.5,652,2.48,16.3,50600,2460,16.2,2910,3230,367,4.1,581,4.96,37.6,593,1130000,165,2560,518,1450
W36X529,156,39.8,1.61,17.2,2.91,3.86,4.1875,2,31.375,7.5,529,2.96,19.9,39600,1990,16,2330,2490,289,4,454,4.8,36.9,327,846000,159,1990,419,1160
W36X487,143,39.3,1.5,17.1,2.68,3.63,4,1.875,31.375,7.5,487,3.19,21.4,36000,1830,15.8,2130,2250,263,3.96,412,4.74,36.6,258,754000,157,1800,383,1060
W36X441,130,38.9,1.36,17,2.44,3.39,3.75,1.875,31.375,7.5,441,3.48,23.6,32100,1650,15.7,1910,1990,235,3.92,368,4.69,36.5,194,661000,154,1600,347,950
W36X395,116,38.4,1.22,16.8,2.2,3.15,3.4375,1.8125,31.375,7.5,395,3.83,26.3,28500,1490,15.7,1710,1750,208,3.88,325,4.61,36.2,142,575000,152,1410,311,847
W36X361,106,38,1.12,16.7,2.01,2.96,3.3125,1.75,31.375,7.5,361,4.16,28.6,25700,1350,15.6,1550,1570,188,3.85,293,4.58,36,109,509000,150,1270,282,767
W36X330,96.9,37.7,1.02,16.6,1.85,2.8,3.125,1.75,31.375,7.5,330,4.49,31.4,23300,1240,15.5,1410,1420,171,3.83,265,4.53,35.9,84.3,456000,149,1150,259,698
W36X302,89,37.3,0.945,16.7,1.68,2.63,3,1.6875,31.375,7.5,302,4.96,33.9,21100,1130,15.4,1280,1300,156,3.82,241,4.53,35.6,64.3,412000,148,1040,235,635
W36X282,82.9,37.1,0.885,16.6,1.57,2.52,2.875,1.625,31.375,7.5,282,5.29,36.2,19600,1050,15.4,1190,1200,144,3.8,223,4.5,35.5,52.7,378000,147,960,219,591
W36X262,77.2,36.9,0.84,16.6,1.44,2.39,2.75,1.625,31.375,7.5,262,5.75,38.2,17900,972,15.3,1100,1090,132,3.76,204,4.46,35.5,41.6,342000,147,873,200,543
W36X247,72.5,36.7,0.8,16.5,1.35,2.3,2.625,1.625,31.375,7.5,247,6.11,40.1,16700,913,15.2,1030,1010,123,3.74,190,4.42,35.4,34.7,316000,146,812,187,509
W36X231,68.2,36.5,0.76,16.5,1.26,2.21,2.5625,1.5625,31.375,7.5,231,6.54,42.2,15600,854,15.1,963,940,114,3.71,176,4.4,35.2,28.7,292000,145,756,175,476
W36X256,75.3,37.4,0.96,12.2,1.73,2.48,2.625,1.3125,32.125,5.5,256,3.53,33.8,16800,895,14.9,1040,528,86.5,2.65,137,3.24,35.7,52.9,168000,109,576,174,516
W36X232,68,37.1,0.87,12.1,1.57,2.32,2.4375,1.25,32.125,5.5,232,3.86,37.3,15000,809,14.8,936,468,77.2,2.62,122,3.21,35.5,39.6,148000,108,512,157,464
W36X210,61.9,36.7,0.83,12.2,1.36,2.11,2.3125,1.25,32.125,5.5,210,4.48,39.1,13200,719,14.6,833,411,67.5,2.58,107,3.18,35.3,28,128000,108,446,136,412
W36X194,57,36.5,0.765,12.1,1.26,2.01,2.1875,1.1875,32.125,5.5,194,4.81,42.4,12100,664,14.6,767,375,61.9,2.56,97.7,3.15,35.2,22.2,116000,107,407,126,379
W36X182,53.6,36.3,0.725,12.1,1.18,1.93,2.125,1.1875,32.125,5.5,182,5.12,44.8,11300,623,14.5,718,347,57.6,2.55,90.7,3.13,35.1,18.5,107000,106,378,118,355
W36X170,50,36.2,0.68,12,1.1,1.85,2,1.1875,32.125,5.5,170,5.47,47.7,10500,581,14.5,668,320,53.2,2.53,83.8,3.11,35.1,15.1,98500,105,349,109,330
W36X160,47,36,0.65,12,1.02,1.77,1.9375,1.125,32.125,5.5,160,5.88,49.9,9760,542,14.4,624,295,49.1,2.5,77.3,3.09,35,12.4,90200,105,321,101,308
W36X150,44.3,35.9,0.625,12,0.94,1.69,1.875,1.125,32.125,5.5,150,6.37,51.9,9040,504,14.3,581,270,45.1,2.47,70.9,3.06,35,10.1,82200,105,294,93.1,287
W36X135,39.9,35.6,0.6,12,0.79,1.54,1.6875,1.125,32.125,5.5,135,7.56,54.1,7800,439,14,509,225,37.7,2.38,59.7,2.99,34.8,7,68100,104,245,77.9,251
W33X387,114,36,1.26,16.2,2.28,3.07,3.1875,1.4375,29.625,5.5,387,3.55,23.7,24300,1350,14.6,1560,1620,200,3.77,312,4.49,33.7,148,459000,137,1260,287,778
W33X354,104,35.6,1.16,16.1,2.09,2.88,2.9375,1.375,29.625,5.5,354,3.85,25.7,22000,1240,14.5,1420,1460,181,3.74,282,4.44,33.5,115,408000,135,1130,262,707
W33X318,93.7,35.2,1.04,16,1.89,2.68,2.75,1.3125,29.625,5.5,318,4.23,28.7,19500,1110,14.5,1270,1290,161,3.71,250,4.4,33.3,84.4,357000,133,1010,235,632
W33X291,85.6,34.8,0.96,15.9,1.73,2.52,2.625,1.3125,29.625,5.5,291,4.6,31,17700,1020,14.4,1160,1160,146,3.68,226,4.34,33.1,65.1,319000,131,904,214,573
W33X263,77.4,34.5,0.87,15.8,1.57,2.36,2.4375,1.25,29.625,5.5,263,5.03,34.3,15900,919,14.3,1040,1040,131,3.66,202,4.31,32.9,48.7,281000,130,807,193,515
W33X241,71.1,34.2,0.83,15.9,1.4,2.19,2.25,1.25,29.625,5.5,241,5.66,35.9,14200,831,14.1,940,933,118,3.62,182,4.29,32.8,36.2,251000,130,726,173,467
W33X221,65.3,33.9,0.775,15.8,1.28,2.06,2.125,1.1875,29.625,5.5,221,6.2,38.5,12900,759,14.1,857,840,106,3.59,164,4.25,32.6,27.8,224000,129,647,156,423
W33X201,59.1,33.7,0.715,15.7,1.15,1.94,2,1.1875,29.625,5.5,201,6.85,41.7,11600,686,14,773,749,95.2,3.56,147,4.21,32.6,20.8,198000,128,577,140,382
W33X169,49.5,33.8,0.67,11.5,1.22,1.92,2.125,1.1875,29.625,5.5,169,4.71,44.7,9290,549,13.7,629,310,53.9,2.5,84.4,3.03,32.6,17.7,82400,93.7,329,108,311
W33X152,44.9,33.5,0.635,11.6,1.06,1.76,1.9375,1.125,29.625,5.5,152,5.48,47.2,8160,487,13.5,559,273,47.2,2.47,73.9,3.01,32.4,12.4,71700,94.1,289,94.3,278
W33X141,41.5,33.3,0.605,11.5,0.96,1.66,1.8125,1.125,29.625,5.5,141,6.01,49.6,7450,448,13.4,514,246,42.7,2.43,66.9,2.98,32.3,9.7,64400,93,257,84.6,253
W33X130,38.3,33.1,0.58,11.5,0.855,1.56,1.75,1.125,29.625,5.5,130,6.73,51.7,6710,406,13.2,467,218,37.9,2.39,59.5,2.94,32.2,7.37,56600,92.7,228,75.3,230
W33X118,34.7,32.9,0.55,11.5,0.74,1.44,1.625,1.125,29.625,5.5,118,7.76,54.5,5900,359,13,415,187,32.6,2.32,51.3,2.89,32.2,5.3,48300,92.5,197,65.1,205
W30X391,115,33.2,1.36,15.6,2.44,3.23,3.375,1.5,26.5,5.5,391,3.19,19.7,20700,1250,13.4,1450,1550,198,3.67,310,4.37,30.8,173,366000,120,1140,267,722
W30X357,105,32.8,1.24,15.5,2.24,3.03,3.125,1.4375,26.5,5.5,357,3.45,21.6,18700,1140,13.3,1320,1390,179,3.64,279,4.31,30.6,134,324000,118,1030,244,655
W30X326,95.9,32.4,1.14,15.4,2.05,2.84,2.9375,1.375,26.5,5.5,326,3.75,23.4,16800,1040,13.2,1190,1240,162,3.6,252,4.26,30.4,103,287000,117,922,222,593
W30X292,86,32,1.02,15.3,1.85,2.64,2.75,1.3125,26.5,5.5,292,4.12,26.2,14900,930,13.2,1060,1100,144,3.58,223,4.22,30.2,75.2,250000,115,816,199,529
W30X261,77,31.6,0.93,15.2,1.65,2.44,2.5625,1.3125,26.5,5.5,261,4.59,28.7,13100,829,13.1,943,959,127,3.53,196,4.16,30,54.1,215000,114,714,176,469
W30X235,69.3,31.3,0.83,15.1,1.5,2.29,2.375,1.25,26.5,5.5,235,5.02,32.2,11700,748,13,847,855,114,3.51,175,4.13,29.8,40.3,190000,112,637,159,421
W30X211,62.3,30.9,0.775,15.1,1.32,2.1,2.25,1.1875,26.5,5.5,211,5.74,34.5,10300,665,12.9,751,757,100,3.49,155,4.11,29.6,28.4,166000,112,556,140,372
W30X191,56.1,30.7,0.71,15,1.19,1.97,2.0625,1.1875,26.5,5.5,191,6.35,37.7,9200,600,12.8,675,673,89.5,3.46,138,4.06,29.5,21,146000,111,494,125,335
